title,description,shortDescription,category,subCategory,type,brand,status,featured,warranty,returnPolicy,shippingInfo,tags,variant_sku,variant_color,variant_size,variant_material,variant_weight,variant_length,variant_width,variant_height,variant_price,variant_oldPrice,variant_discountPrice,variant_qty,variant_thresholdQty,variant_shipping,variant_isDefault
iPhone 15 Pro,"The iPhone 15 Pro features a titanium design with the powerful A17 Pro chip, advanced camera system, and USB-C connectivity.","Pro camera system, A17 Pro chip, titanium design",Electronics,Smartphones,Premium Smartphones,Apple,active,true,1 year limited warranty,14 days return policy,Free shipping,smartphone;premium;5g;apple;titanium,APPLE-IP15P-128-NT,Natural Titanium,128GB,Titanium,187,146.6,70.6,8.25,999.99,1099.99,949.99,50,5,true,true
iPhone 15 Pro,"The iPhone 15 Pro features a titanium design with the powerful A17 Pro chip, advanced camera system, and USB-C connectivity.","Pro camera system, A17 Pro chip, titanium design",Electronics,Smartphones,Premium Smartphones,Apple,active,true,1 year limited warranty,14 days return policy,Free shipping,smartphone;premium;5g;apple;titanium,APPLE-IP15P-256-NT,Natural Titanium,256GB,Titanium,187,146.6,70.6,8.25,1199.99,1299.99,1149.99,30,5,true,false
iPhone 15 Pro,"The iPhone 15 Pro features a titanium design with the powerful A17 Pro chip, advanced camera system, and USB-C connectivity.","Pro camera system, A17 Pro chip, titanium design",Electronics,Smartphones,Premium Smartphones,Apple,active,true,1 year limited warranty,14 days return policy,Free shipping,smartphone;premium;5g;apple;titanium,APPLE-IP15P-512-BT,Blue Titanium,512GB,Titanium,187,146.6,70.6,8.25,1399.99,1499.99,1349.99,20,5,true,false
Samsung Galaxy S24 Ultra,"The Galaxy S24 Ultra delivers exceptional performance with the Snapdragon 8 Gen 3 processor and S Pen functionality.","S Pen included, AI features, 200MP camera",Electronics,Smartphones,Premium Smartphones,Samsung,active,true,1 year manufacturer warranty,30 days return policy,Free shipping,smartphone;samsung;spen;ai;premium,SAMSUNG-S24U-256-BK,Phantom Black,256GB,Aluminum,232,162.3,79.0,8.6,1199.99,1299.99,1099.99,30,5,true,true
Samsung Galaxy S24 Ultra,"The Galaxy S24 Ultra delivers exceptional performance with the Snapdragon 8 Gen 3 processor and S Pen functionality.","S Pen included, AI features, 200MP camera",Electronics,Smartphones,Premium Smartphones,Samsung,active,true,1 year manufacturer warranty,30 days return policy,Free shipping,smartphone;samsung;spen;ai;premium,SAMSUNG-S24U-512-TG,Titanium Gray,512GB,Aluminum,232,162.3,79.0,8.6,1399.99,1499.99,1299.99,25,5,true,false
MacBook Air M3,"The new MacBook Air with M3 chip delivers incredible performance and up to 18 hours of battery life.","M3 chip, 18hr battery, ultra-thin design",Electronics,Laptops,Ultrabooks,Apple,active,true,1 year limited warranty,14 days return policy,Free shipping,laptop;apple;m3;ultrabook;portable,APPLE-MBA-M3-256-SG,Space Gray,256GB SSD,Aluminum,1240,304.1,215.0,11.3,1199.99,1299.99,1149.99,25,3,true,true
MacBook Air M3,"The new MacBook Air with M3 chip delivers incredible performance and up to 18 hours of battery life.","M3 chip, 18hr battery, ultra-thin design",Electronics,Laptops,Ultrabooks,Apple,active,true,1 year limited warranty,14 days return policy,Free shipping,laptop;apple;m3;ultrabook;portable,APPLE-MBA-M3-512-MN,Midnight,512GB SSD,Aluminum,1240,304.1,215.0,11.3,1499.99,1599.99,1449.99,20,3,true,false
Nike Air Max 270,"The Nike Air Max 270 features Nike's biggest heel Air unit yet for incredible comfort and style.","Max Air cushioning, everyday comfort, iconic style",Fashion,Footwear,Sneakers,Nike,active,false,6 months warranty,30 days return policy,Standard shipping,shoes;nike;airmax;sneakers;comfort,NIKE-AM270-BK-10,Black,10,Synthetic Mesh,310,,,,,149.99,169.99,129.99,100,15,true,true
Nike Air Max 270,"The Nike Air Max 270 features Nike's biggest heel Air unit yet for incredible comfort and style.","Max Air cushioning, everyday comfort, iconic style",Fashion,Footwear,Sneakers,Nike,active,false,6 months warranty,30 days return policy,Standard shipping,shoes;nike;airmax;sneakers;comfort,NIKE-AM270-WH-9,White,9,Synthetic Mesh,305,,,,,149.99,169.99,129.99,80,15,true,false
Nike Air Max 270,"The Nike Air Max 270 features Nike's biggest heel Air unit yet for incredible comfort and style.","Max Air cushioning, everyday comfort, iconic style",Fashion,Footwear,Sneakers,Nike,active,false,6 months warranty,30 days return policy,Standard shipping,shoes;nike;airmax;sneakers;comfort,NIKE-AM270-RD-11,Red,11,Synthetic Mesh,315,,,,,149.99,169.99,129.99,60,15,true,false
Canon EOS R6 Mark II,"Professional mirrorless camera with 24.2MP full-frame sensor, advanced autofocus, and 4K video recording capabilities.","24.2MP full-frame, 4K video, professional grade",Electronics,Cameras,Mirrorless Cameras,Canon,active,true,2 years international warranty,14 days return policy,Free shipping,camera;mirrorless;professional;4k;fullframe,CANON-R6M2-BODY,Black,Body Only,Magnesium Alloy,588,138.4,98.4,88.4,2499.99,2699.99,2299.99,15,2,true,true